CustomerID,recency,frequency,monetary,avg_basket,product_diversity,return_rate,weekend_ratio,repeat_category_rate,true_segment,segment_name
C00000,21.054156752678885,39.11509096094983,5152.946353167099,131.73806391787488,318.94034978700495,0.06118428420857875,0.08849089564440661,0.6373696569927303,0,high_value
C00001,150.79750747723057,10.81606718553913,1924.8617178370314,177.9631805921596,108.02269481243074,0.1746423973056162,0.49433056355457283,0.5663810437771657,2,loyal_mid
C00002,105.1530046926889,16.287764877261843,1923.9854459038181,118.1245837229486,104.97524414809536,0.1485044653745874,0.2316256068454963,0.4246639184443637,2,loyal_mid
C00003,30.12432664798338,40.1810494808892,13775.800752586052,342.84322909828575,219.3833192260699,0.025530599087973282,0.1724560640231157,0.5361492176874674,0,high_value
C00004,40.31165214670598,57.445599473538486,12502.576656073243,217.6420260325141,303.7587361805362,0.06546462949630903,0.07972758700849013,0.5125646101025756,0,high_value
C00005,305.2054817377932,1.5892195045291553,300.16244485876655,188.8741259488235,27.317697343828918,0.21130786356349163,0.7262922542204228,0.12132799839980345,1,at_risk
C00006,17.315113066233575,47.77049742571546,14650.95577770459,306.69464559139794,230.62076048225504,0.00032060837866715986,0.2149878252823197,0.7652686115565012,0,high_value
C00007,44.34667972543643,13.381499147226297,1334.5572008303284,99.73151633813421,117.3411170913626,0.11637324076055253,0.36346482254663215,0.4043029552010517,2,loyal_mid
C00008,25.509414703016247,55.00019768938434,14154.065878692209,257.3457273486147,146.8733826626123,0.04869929031185974,0.20805062502871557,0.8031506122158569,0,high_value
C00009,245.0127144740629,3.247661205617604,743.721854530209,229.00229040017007,4.637565307648763,0.15712695193715595,0.5175841883698284,0.058234003674590126,1,at_risk
C00010,35.35207736496659,49.84057120973786,6936.531662085104,139.17440137062158,189.60628468190288,0.037584071053986236,0.21868413683731946,0.7983338112755931,0,high_value
C00011,20.01209375010456,31.875058982851414,4234.925496961132,132.86016189772374,250.58442531279968,0.02435732211808263,0.11765803806771512,0.7602109864278348,0,high_value
C00012,40.714505447929035,25.590736438158274,5853.707589364294,228.74322524911193,215.25146171734514,0.02358191596596342,0.09814770580772746,0.8309319618576673,0,high_value
C00013,59.240574993144165,9.719586071029893,2261.7433916125246,232.6995589198861,102.34860358286443,0.08235063383331759,0.5466547626238628,0.37088330053958163,2,loyal_mid
