recency,frequency,monetary,avg_basket,product_diversity,return_rate,weekend_ratio,repeat_category_rate
0.7872231781105345,0.6792136436662197,0.5757246802652339,0.432763111716263,0.7125281085457854,0.3197578133940681,0.6331542816129477,0.7165334845233181
0.5609705611598443,0.831447731439398,0.8184161408827862,0.6411753007369004,0.8538673776442527,0.16964567088960356,0.023361256918734336,0.8613180145178339
0.5892415860009246,0.633087451809731,0.6661696369507902,0.5942118340185257,0.5958709563848896,0.3643706995486004,0.23175217479541554,0.39117980902514476
0.6985049003116972,0.6611436293238596,0.6532014242334151,0.5533157790036384,0.6511684952540201,0.15182950241636842,0.3647543784679186,0.564093423680155
0.4593367573194413,0.9265138173904837,0.8811540830194186,0.6510067039995425,0.8122585150259976,0.04478011282091987,0.18644766534499052,0.9482938928580992
0.19217443286472502,0.696503162690307,0.9997218468805221,1.0,0.9955197322027447,0.022076746436093485,0.21351849908674586,0.5746031888147232
0.9269462471357066,0.22757459409690592,0.0377182023596242,0.10026084081783038,0.5240272631828751,0.39368009433455364,0.6458460949104705,0.15483062456183244
0.765216098513732,0.6846282601433396,0.65956903144183,0.5427579768133722,0.6793848724281806,0.3194092550488041,0.4431362710656764,0.47266532785772764
0.3963870520396356,0.9744070416121471,0.943323627353981,0.6980903928723586,0.9003547476922913,0.13520866717186997,0.24581525753687933,0.9862916739820465
0.8181507355925062,0.6695641855015995,0.6860837628177462,0.5913958482685892,0.6230235885713048,0.17608502940516627,0.2676940666783866,0.4398031210799779
0.7245136335798568,0.5584922705530214,0.6097815236631513,0.5792672878667445,0.7615611837914144,0.14696334560180324,0.6517568960306459,0.41966050944944927
0.49098144931515947,0.8175446945097502,0.8657534340185774,0.7173065470284409,0.92615658040898,0.13076797331167703,0.33510699485679274,0.6333679472251742
0.7907772385296827,0.4411644993610613,0.638204441879605,0.7190860984321842,0.760570721453773,0.32012638610349503,0.4361051014435435,0.6208269192348074
0.9954920760786037,0.08244519444688683,0.4170033722725882,0.7766261296279743,0.5415228094335136,0.7273209110844032,0.9003132928908036,0.2323695420497388
0.19258359314093715,0.9930192879348445,0.8738913049132285,0.5881344991318226,0.8860656105576423,0.008529285722155028,0.33454814205032934,0.695275060097671
0.6739540112724325,0.49619717867107704,0.6920936114615485,0.7452068053815274,0.736949420994835,0.31083990422081775,0.4480370635575313,0.5965908565142363
0.5685084768800588,0.8501129835521297,0.9787241812512933,0.8462215592001355,0.9687884729543683,0.09450027400269012,0.07390447374882227,0.8410657769564434
