CustomerID,recency,frequency,monetary,avg_basket,product_diversity,return_rate,weekend_ratio,repeat_category_rate
12346,326,12,77556.46,6463.038333333334,27,0.29411764705882354,0.0,0.2647058823529412
12608,405,1,415.79,415.79,16,0.0,1.0,0.6875
12745,487,2,723.85,361.92499999999995,20,0.0,0.0,0.36363636363636365
12746,541,1,254.55,254.55,17,0.6666666666666666,0.0,0.47058823529411764
12747,2,26,8898.48,342.24923076923073,85,0.1875,0.1606425702811245,0.20883534136546184
12748,1,336,53539.64,159.34416666666667,2286,0.07692307692307693,0.19043280182232347,0.3547456340167046
12749,4,9,6897.36,766.3733333333334,260,0.4375,0.17751479289940827,0.5414201183431953
12777,458,1,519.45,519.45,26,0.0,0.0,0.5384615384615384
12819,458,1,540.52,540.52,19,0.0,0.0,0.5789473684210527
12820,3,11,2689.52,244.50181818181818,131,0.15384615384615385,0.0880503144654088,0.34591194968553457
12821,214,2,220.8,110.39999999999999,13,0.0,0.0,0.6153846153846154
12822,71,2,948.88,474.44,41,0.3333333333333333,0.0,0.5217391304347826
12823,75,18,6501.5,361.19444444444446,1,0.0,0.0,1.0
12824,60,1,397.12,397.12,25,0.0,0.0,0.52
12825,521,2,518.63,259.315,20,0.0,0.0,0.2916666666666667
12826,3,12,2800.75,233.39583333333334,93,0.2,0.044585987261146494,0.28662420382165604
12827,6,3,430.15000000000003,143.38333333333333,19,0.0,0.2,0.56
12828,3,6,1018.71,169.785,46,0.0,0.0,0.4107142857142857
12829,337,3,385.3,128.43333333333334,17,0.25,0.0,0.3684210526315789
12830,38,6,6814.64,1135.7733333333333,13,0.14285714285714285,0.0,0.5263157894736842
12831,262,3,451.11,150.37,16,0.0,0.0,0.6818181818181818
12832,32,2,383.03,191.51500000000001,27,0.0,0.0,0.2222222222222222
12833,145,1,417.38,417.38,24,0.0,1.0,0.4166666666666667
12834,283,1,312.38,312.38,18,0.0,0.0,0.4444444444444444
12835,428,41,5996.83,146.2641463414634,138,0.16326530612244897,0.0,0.37398373983739835
12836,59,15,6559.7300000000005,437.31533333333334,280,0.11764705882352941,0.029197080291970802,0.44038929440389296
12837,173,2,662.66,331.33000000000004,83,0.0,0.13636363636363635,0.3977272727272727
12838,34,10,2975.91,297.591,230,0.16666666666666666,0.17134831460674158,0.598314606741573
12839,3,26,9669.12,371.8892307692308,156,0.16129032258064516,0.02888086642599278,0.3592057761732852
12840,144,7,4041.97,577.4242857142857,109,0.36363636363636365,0.0,0.4318181818181818
12841,5,40,6958.2,173.95499999999998,307,0.047619047619047616,0.2857142857142857,0.4642857142857143
12842,70,4,1917.99,479.4975,45,0.0,0.22916666666666666,0.6041666666666666
12843,66,30,6583.36,219.4453333333333,130,0.11764705882352941,0.2557077625570776,0.2694063926940639
12844,29,4,648.6,162.15,88,0.0,0.20388349514563106,0.3592233009708738
12845,267,4,354.09,88.5225,26,0.0,0.0,0.37037037037037035
12846,682,1,15.58,15.58,1,0.0,0.0,1.0
12847,22,2,1609.0,804.5,100,0.0,0.0,0.3949579831932773
12848,676,1,208.0,208.0,16,0.0,0.0,0.5
12849,31,6,3042.47,507.0783333333333,123,0.0,0.0,0.5555555555555556
12850,446,1,330.0,330.0,2,0.0,0.0,0.5
12851,97,2,280.76,140.38,71,0.0,0.6103896103896104,0.33766233766233766
12852,295,1,311.55,311.55,17,0.5,0.0,0.6470588235294118
